"ID","COUNTRY","CURRENCY","CUSTRECORD_COUPA_ACCS_SUB_INCLUDE","CUSTRECORD_ENTITY_ACCOUNT_ARI","CUSTRECORD_PSG_EI_DISABLE_COUNTRY","CUSTRECORD_PSG_EI_EMAIL_CUSTOM","CUSTRECORD_PSG_EI_LICENSE_FREE_COUNTRY","CUSTRECORD_PSG_EI_NOTIF_RECIPIENT","CUSTRECORD_PSG_EI_SENDER","CUSTRECORD_PSG_LC_TEST_MODE","DROPDOWNSTATE","EDITION","EMAIL","EXTERNALID","FAX","FEDERALIDNUMBER","FISCALCALENDAR","FULLNAME","GLIMPACTLOCKING","INTERCOACCOUNT","ISELIMINATION","ISINACTIVE","LASTMODIFIEDDATE","LEGALNAME","MAINADDRESS","NAME","PARENT","PURCHASEORDERAMOUNT","PURCHASEORDERQUANTITY","PURCHASEORDERQUANTITYDIFF","REPRESENTINGCUSTOMER","REPRESENTINGVENDOR","RETURNADDRESS","SHIPPINGADDRESS","SHOWSUBSIDIARYNAME","SSNORTIN","STATE","STATE1TAXNUMBER","TRANPREFIX","URL","_FIVETRAN_DELETED","DATE_DELETED","_FIVETRAN_SYNCED","CUSTRECORD_ADVANCED_PDF_TEMPLATE","CUSTRECORD_BANK_REMITTANCE","CUSTRECORD_INCLUDE_IN_WORKDAY"
"24","US","1","F","0UGO8PJB9BI0E0GJ","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans V Trust","F",,"F","F","2023-03-01 15:32:40.000 +0000",,"3140471","Affirm Operational Loans V Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"30","US","1","F","FNXDA3MXJGWKI89S","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans VI Trust","F",,"F","F","2023-03-01 15:32:43.000 +0000",,"3198501","Affirm Operational Loans VI Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"41","CA","3","F",,"F",,,,,"active","ON","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : PayBright Inc. : Elimination Subsidiary - PayBright Inc.","F",,"T","F","2023-03-01 15:32:03.000 +0000",,"3220957","Elimination Subsidiary - PayBright Inc.","38",,,,,,,,"F",,"ON",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"47","US","1","F",,"F",,,,,"active","DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Returnly Holdings, LLC : Elimination Subsidiary - Returnly Holdings, LLC","F",,"T","F","2023-03-01 15:34:35.000 +0000",,"3227076","Elimination Subsidiary - Returnly Holdings, LLC","45",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"49","US","1","T","NTX7ZBBJA7B56JCR","F",,,,,"active","DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans VII Trust","F",,"F","F","2023-03-01 15:32:46.000 +0000",,"3235095","Affirm Operational Loans VII Trust","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"5","US","1","F","UZPMBO5UU03WW1P3","F",,,,,,"CA","US",,,,"36-4816807","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Loan Services LLC","F",,"F","F","2023-03-01 15:32:22.000 +0000",,"9236","Affirm Loan Services LLC","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"19","US","1","F",,"F",,,,,,"CA","US",,,,"45-5413534","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Opportunity Fund I LLC","F",,"F","F","2023-03-01 15:32:49.000 +0000",,"2936631","Affirm Opportunity Fund I LLC","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"22","US","1","F","0FW078XD62EJGYW0","F",,,,,,"CA","US",,,,"45-5413534","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans IV Trust","F",,"F","F","2023-03-01 15:32:37.000 +0000",,"3130245","Affirm Operational Loans IV Trust","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"52","US","1","T",,"F",,,,,"active","CA","US",,,,"87-3652649","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Payments LLC","F",,"F","F","2023-03-01 15:32:52.000 +0000",,"3241808","Affirm Payments LLC","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"68","US","1","T","M4BQOLQ5H2BZQ6D8","F",,,,,"active","CA","US",,,,"92-6479004","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Operational Loans VIII Trust","F",,"F","F","2023-03-16 15:29:40.000 +0000",,"3279275","Affirm Operational Loans VIII Trust","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-24 14:48:34.312 +0000",,,"T"
"38","CA","3","T",,"F",,,,,"active","ON","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : PayBright Inc.","F",,"F","F","2023-03-24 13:44:26.000 +0000",,"3220954","PayBright Inc.","27",,,,,,,,"F",,"ON",,,,false,,"2023-04-06 10:48:36.246 +0000",,,"F"
"39","CA","3","F","XGSNQ5EU9ZGMAO4O","F",,,,,"active","ON","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : PayBright Inc. : PayBright Funding LP","F",,"F","F","2023-03-01 15:42:47.000 +0000",,"3220955","PayBright Funding LP","38",,,,,,,,"F",,"ON",,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"40","CA","3","F",,"F",,,,,"active","ON","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : PayBright Inc. : PayBright Funding GP","F",,"F","F","2023-03-01 15:32:06.000 +0000",,"3220956","PayBright Funding GP","38",,,,,,,,"F",,"ON",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"33","US","1","T",,"F",,,,,,"DE","US",,,,"85-2073731","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC","F",,"F","F","2023-03-01 15:30:14.000 +0000",,"3202354","Affirm ABS LLC","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"35","US","1","T","0T14VN4Y6NHDJCC7","F",,,,,"active","DE","US",,,,"85-6522980","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Asset Securitization Trust 2020-Z2","F",,"F","F","2023-03-01 15:30:55.000 +0000",,"3208080","Affirm Asset Securitization Trust 2020-Z2","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"58","CA","3","F","PZSM42TC5KSUPZDP","F",,,,,"active","BC","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : Elimination Subsidiary - Affirm Canada Holdings Ltd","F",,"T","F","2023-03-01 15:31:55.000 +0000",,"3269140","Elimination Subsidiary - Affirm Canada Holdings Ltd","27",,,,,,,,"F",,"BC",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"17","US","1","F",,"F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Loan Asset Sales I LLC","F",,"F","F","2023-03-01 15:32:15.000 +0000",,"1198802","Affirm Loan Asset Sales I LLC","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"20","US","1","F",,"F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Loan Asset Sales II LLC","F",,"F","F","2023-03-01 15:32:18.000 +0000",,"2948334","Affirm Loan Asset Sales II LLC","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"2","US","1","F","7DK5L03J4IL2LG3D","F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Elimination Subsidiary - Affirm, Inc.","F",,"T","F","2023-03-01 15:34:01.000 +0000",,"2","Elimination Subsidiary - Affirm, Inc.","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"29","US","1","F",,"F",,,,,,"DE","US",,,,,"1","Affirm Holdings, Inc. : Elimination Subsidiary - Affirm Holdings, Inc.","F",,"T","F","2023-03-01 15:34:46.000 +0000",,"3185074","Elimination Subsidiary - Affirm Holdings, Inc.","28",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"65","GB","2","F",,"F",,,,,"active",,"UK",,,,"1675618684","1","Affirm Holdings, Inc. : Affirm, Inc. : Butter Holdings Ltd : Skytech Capital Ltd : Butter SPV 1 Ltd","F",,"F","F","2023-03-01 15:33:51.000 +0000",,"3272819","Butter SPV 1 Ltd","63",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"64","GB","2","F",,"F",,,,,"active",,"UK",,,,"5743021374","1","Affirm Holdings, Inc. : Affirm, Inc. : Butter Holdings Ltd : Butter Holidays Limited","F",,"F","F","2023-03-01 15:33:35.000 +0000",,"3272818","Butter Holidays Limited","62",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"62","GB","2","F",,"F",,,,,"active",,"UK",,,,"8313928157","1","Affirm Holdings, Inc. : Affirm, Inc. : Butter Holdings Ltd","F",,"F","F","2023-03-01 15:33:31.000 +0000",,"3272816","Butter Holdings Ltd","1",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.279 +0000",,,"T"
"63","GB","2","F",,"F",,,,,"active",,"UK",,,,"7943021686","1","Affirm Holdings, Inc. : Affirm, Inc. : Butter Holdings Ltd : Skytech Capital Ltd","F",,"F","F","2023-03-01 15:33:57.000 +0000",,"3272817","Skytech Capital Ltd","62",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"67","GB","2","F",,"F",,,,,"active",,"UK",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Butter Holdings Ltd : Elimination Subsidiary - Butter Holdings Ltd.","F",,"T","F","2023-03-01 15:33:44.000 +0000",,"3273421","Elimination Subsidiary - Butter Holdings Ltd.","62",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
"28","US","1","T",,"F",,,,,,"CA","US","accounting@affirm.com",,,"84-2224323","1","Affirm Holdings, Inc.","F",,"F","F","2023-03-01 15:29:49.000 +0000","Affirm, Inc.","3182698","Affirm Holdings, Inc.",,,,,,,,,"F",,"CA",,,"https://www.affirm.com/",false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"54","GB","2","T",,"F",,,,,"active",,"UK",,,,"9340715703","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm U.K. Limited","F",,"F","F","2023-03-01 15:33:27.000 +0000",,"3252987","Affirm U.K. Limited","1",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.279 +0000",,,"T"
"1","US","1","T","46X18GKOMYBWO3KC","F",,,,,,"CA","US","accounting@affirm.com",,"(415) 329-6067","45-5413534","1","Affirm Holdings, Inc. : Affirm, Inc.","F",,"F","F","2023-03-01 15:29:31.000 +0000",,"1","Affirm, Inc.","28",,,,,,,,"F",,"CA",,,"www.affirm.com",false,,"2023-03-16 16:48:33.278 +0000",,"Electronic Funds Transfer (Preferred)
     Bank: JPMorgan Chase Bank, N.A.
     ACH Routing #: 322271627
     Wire Routing #: 021000021
     Account #: 309355078
     Account Name: Affirm, Inc.
Remit Check Payments To:
     Affirm, Inc.
     30 Isabella Street, Floor 4, Pittsburgh, PA 15212
     Attn: Accounting/AR Lockbox","T"
"37","US","1","T","0KF44XO1FBGRV9JS","F",,,,,"active","DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS Funding Trust I","F",,"F","F","2023-03-01 15:30:01.000 +0000",,"3216532","Affirm ABS Funding Trust I","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"43","AU","6","T","3ID5MVTGF2RKFRVD","F",,,,,"active","VIC","AU",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Australia Pty Ltd","F",,"F","F","2023-03-01 15:31:25.000 +0000",,"3222061","Affirm Australia Pty Ltd","1",,,,,,,,"F",,"VIC","695966244",,,false,,"2023-03-16 16:48:33.278 +0000",,,"T"
"51","PL","7","T",,"F",,,,,"active","Warsaw","XX",,,,"5252729677","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Poland sp. z o.o","F",,"F","F","2023-03-01 15:33:24.000 +0000",,"3237503","Affirm Poland sp. z o.o","1",,,,,,,,"F",,"Warsaw",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"T"
"27","CA","3","T","8TSBSMC2RXIX4TR2","F",,,,,,"BC","CA",,,,"799780739","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd.","F",,"F","F","2023-03-01 15:31:28.000 +0000",,"3140675","Affirm Canada Holdings Ltd.","1",,,,,,,,"F",,"BC",,,,false,,"2023-03-16 16:48:33.278 +0000",,"By ACH or wire transfer, refer to our Canada Dollar (CAD) account information below:
Bank:  JPMorgan Chase Bank, N.A.
Account Name:  Affirm Canada Holdings Ltd.
Affirm Canada Address: 130 King Street West, Exchange Tower, Suite 1800, Toronto, M5X 1E3, Canada

For Wire:
Beneficiary Bank:  JPMorgan Chase Bank, N.A., Toronto Branch
SWIFT BIC:  CHASCATTCTS
Account Number:  4011739058
Address: 66 Wellington Street West, Toronto, Ontario M5K 1E7, Canada 

For ACH Credit:
Pay to Bank:  JPMorgan Chase Bank, N.A., Toronto Branch
Bank No. 0270 - Transit No. 00012
For Further Credit to:  Affirm Canada Holdings Ltd. 
Account Number:  4011739058","T"
"45","US","1","F",,"F",,,,,"active","CA","US",,,,"86-3629013","1","Affirm Holdings, Inc. : Affirm, Inc. : Returnly Holdings, LLC","F",,"F","F","2023-03-01 15:34:30.000 +0000",,"3227074","Returnly Holdings, LLC","1",,,,,,,,"F",,"CA",,,,false,,"2023-03-16 16:48:33.280 +0000",,,"F"
"46","ES","4","F",,"F",,,,,"active",,"XX",,,,"98-1512726","1","Affirm Holdings, Inc. : Affirm, Inc. : Returnly Holdings, LLC : Returnly Technologies Spain, S.L.U.","F",,"F","F","2023-03-01 15:34:40.000 +0000",,"3227075","Returnly Technologies Spain, S.L.U.","45",,,,,,,,"F",,,,,,false,,"2023-03-16 16:48:33.280 +0000",,,"T"
"36","US","1","T","PCBOIF9KB748HJPK","F",,,,,"active","DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2021-A","F",,"F","F","2023-03-01 15:30:37.000 +0000",,"3214722","Affirm Asset Securitization Trust 2021-A","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"48","US","1","T","D2ARMWPQYAJWG0OU","F",,,,,"active","DE","US",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2021-B","F",,"F","F","2023-03-01 15:30:40.000 +0000",,"3232986","Affirm Asset Securitization Trust 2021-B","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"57","US","1","T","CIB4L8L7SG9E1HG5","F",,,,,"active","DE","US",,,,"92-6109003","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2022-B","F",,"F","F","2023-03-01 15:30:46.000 +0000",,"3266906","Affirm Asset Securitization Trust 2022-B","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"31","US","1","T","AJ045IDKP36RROA3","F",,,,,,"DE","US",,,,"85-6304893","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Asset Securitization Trust 2020-Z1","F",,"F","F","2023-03-01 15:30:52.000 +0000",,"3201416","Affirm Asset Securitization Trust 2020-Z1","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"34","US","1","T","5YEFZ027Y59B97W","F",,,,,,"DE","US",,,,"85-6398280","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2020-A","F",,"F","F","2023-03-01 15:30:34.000 +0000",,"3202355","Affirm Asset Securitization Trust 2020-A","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"44","US","1","T","HH84CY7VZZ3S7WUI","F",,,,,"active","DE","US",,,,"86-6637916","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Asset Securitization Trust 2021-Z1","F",,"F","F","2023-03-01 15:31:03.000 +0000",,"3223466","Affirm Asset Securitization Trust 2021-Z1","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"53","US","1","T","61YKKT1HK3GPADXN","F",,,,,"active","DE","US",,,,"88-6161516","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2022-A","F",,"F","F","2023-03-01 15:30:43.000 +0000",,"3252476","Affirm Asset Securitization Trust 2022-A","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"66","US","1","T","XBYFICDMK3I28KWB","F",,,,,"active","DE","US",,,,"92-6109003","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm ABS LLC : Affirm Asset Securitization Trust 2023-A","F",,"F","F","2023-03-01 15:30:49.000 +0000",,"3273320","Affirm Asset Securitization Trust 2023-A","33",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"55","US","1","T","AKWF1GBNM62YIW5T","F",,,,,"active","DE","US",,,,"88-6431923","1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Asset Securitization Trust 2022-Z1","F",,"F","F","2023-03-01 15:31:12.000 +0000",,"3256982","Affirm Asset Securitization Trust 2022-Z1","1",,,,,,,,"F",,"DE",,,,false,,"2023-03-16 16:48:33.278 +0000",,,"F"
"56","CA","3","F","OKCD9DS4JJEHV3IT","F",,,,,"active","ON","CA",,,,,"1","Affirm Holdings, Inc. : Affirm, Inc. : Affirm Canada Holdings Ltd. : PayBright Funding Limited Partnership","F",,"F","F","2023-03-01 15:31:58.000 +0000",,"3257569","PayBright Funding Limited Partnership","27",,,,,,,,"F",,"ON",,,,false,,"2023-03-16 16:48:33.279 +0000",,,"F"
